obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('47',)",33.300201416,1,0,1029.32976905,29,29,2,3.3300201416,29,13,3724598986.37,3724598986.47,3659558967.24,44.36829,-124.9528,0.0,34.1127100786,29,29,internal_timestamp,520.690002441,29,29,237201,1450570167,5.42619991302,29,29,3659558967.24
"('48',)",33.3022003174,1,0,1029.32354338,29,29,2,3.33022003174,29,13,3724598986.37,3724598986.47,3659558978.23,44.36829,-124.9528,0.0,34.1122334562,29,29,internal_timestamp,519.510009766,29,29,232703,1450570178,5.429500103,29,29,3659558978.23
"('49',)",33.3017997742,1,0,1029.31865878,29,29,2,3.33017997742,29,13,3724598986.37,3724598986.47,3659558989.23,44.36829,-124.9528,0.0,34.1124264744,29,29,internal_timestamp,518.409973145,29,29,227634,1450570189,5.42939996719,29,29,3659558989.23
"('50',)",33.3027992249,1,0,1029.31253162,29,29,2,3.33027992249,29,13,3724598986.37,3724598986.47,3659559000.24,44.36829,-124.9528,0.0,34.1115921432,29,29,internal_timestamp,517.289978027,29,29,235111,1450570200,5.43190002441,29,29,3659559000.24
"('51',)",33.3042984009,1,0,1029.30720651,29,29,2,3.33042984009,29,13,3724598986.37,3724598986.47,3659559011.23,44.36829,-124.9528,0.0,34.1115091595,29,29,internal_timestamp,516.210021973,29,29,229298,1450570211,5.43419981003,29,29,3659559011.23
"('52',)",33.3056983948,1,0,1029.30105784,29,29,2,3.33056983948,29,13,3724598986.37,3724598986.47,3659559022.23,44.36829,-124.9528,0.0,34.1106147567,29,29,internal_timestamp,515.109985352,29,29,233874,1450570222,5.43720006943,29,29,3659559022.23
"('53',)",33.3074989319,1,0,1029.29565767,29,29,2,3.33074989319,29,13,3724598986.37,3724598986.47,3659559033.24,44.36829,-124.9528,0.0,34.1108032577,29,29,internal_timestamp,513.969970703,29,29,238553,1450570233,5.43959999084,29,29,3659559033.24
"('54',)",33.3208007812,1,0,1029.28423795,29,29,2,3.33208007813,29,13,3724598986.37,3724598986.47,3659559044.23,44.36829,-124.9528,0.0,34.1063863771,29,29,internal_timestamp,512.809997559,29,29,232379,1450570244,5.45949983597,29,29,3659559044.23
"('55',)",33.3401985168,1,0,1029.27261802,29,29,2,3.33401985168,29,13,3724598986.37,3724598986.47,3659559055.24,44.36829,-124.9528,0.0,34.101724316,29,29,internal_timestamp,511.850006104,29,29,239958,1450570255,5.48640012741,29,29,3659559055.24
"('56',)",33.3492012024,1,0,1029.2668868,29,29,2,3.33492012024,29,13,3724598986.37,3724598986.47,3659559066.25,44.36829,-124.9528,0.0,34.1015994927,29,29,internal_timestamp,510.929992676,29,29,246925,1450570266,5.4970998764,29,29,3659559066.25
"('57',)",33.3594017029,1,0,1029.25908687,29,29,2,3.33594017029,29,13,3724598986.37,3724598986.47,3659559077.24,44.36829,-124.9528,0.0,34.0990617268,29,29,internal_timestamp,510.079986572,29,29,240554,1450570277,5.51149988174,29,29,3659559077.24
"('58',)",33.3633995056,1,0,1029.25412957,29,29,2,3.33633995056,29,13,3724598986.37,3724598986.47,3659559088.25,44.36829,-124.9528,0.0,34.0991245418,29,29,internal_timestamp,509.130004883,29,29,245642,1450570288,5.51639986038,29,29,3659559088.25
"('59',)",33.3950004578,1,0,1029.2393295,29,29,2,3.33950004578,29,29,3724598986.37,3724598986.47,3659559099.24,44.36829,-124.9528,0.0,34.0927374354,29,29,internal_timestamp,508.220001221,29,29,239979,1450570299,5.55870008469,29,29,3659559099.24
"('60',)",33.408000946,1,0,1029.23089607,29,29,2,3.3408000946,29,13,3724598986.37,3724598986.47,3659559110.24,44.36829,-124.9528,0.0,34.0902758878,29,29,internal_timestamp,507.309997559,29,29,244065,1450570310,5.57620000839,29,29,3659559110.24
"('61',)",33.4174003601,1,0,1029.22367865,29,29,2,3.34174003601,29,13,3724598986.37,3724598986.48,3659559121.25,44.36829,-124.9528,0.0,34.0889098933,29,29,internal_timestamp,506.329986572,29,29,249963,1450570321,5.58860015869,29,29,3659559121.25
"('62',)",33.4212989807,1,0,1029.21860418,29,29,2,3.34212989807,29,13,3724598986.37,3724598986.48,3659559132.25,44.36829,-124.9528,0.0,34.089084556,29,29,internal_timestamp,505.329986572,29,29,245068,1450570332,5.59329986572,29,29,3659559132.25
"('63',)",33.4222984314,1,0,1029.2139319,29,29,2,3.34222984314,29,13,3724598986.37,3724598986.48,3659559143.25,44.36829,-124.9528,0.0,34.0895322821,29,29,internal_timestamp,504.269989014,29,29,252460,1450570343,5.59450006485,29,29,3659559143.25
"('64',)",33.4240989685,1,0,1029.20790991,29,29,2,3.34240989685,29,13,3724598986.37,3724598986.48,3659559154.25,44.36829,-124.9528,0.0,34.0888959566,29,29,internal_timestamp,503.160003662,29,29,248683,1450570354,5.59770011902,29,29,3659559154.25
"('65',)",33.4253005981,1,0,1029.20265871,29,29,2,3.34253005981,29,13,3724598986.37,3724598986.48,3659559165.24,44.36829,-124.9528,0.0,34.0885451507,29,29,internal_timestamp,502.140014648,29,29,244267,1450570365,5.59989976883,29,29,3659559165.24
"('66',)",33.4267997742,1,0,1029.19794896,29,29,2,3.34267997742,29,13,3724598986.37,3724598986.48,3659559176.25,44.36829,-124.9528,0.0,34.0882745618,29,29,internal_timestamp,501.230010986,29,29,251518,1450570376,5.60230016708,29,29,3659559176.25
"('67',)",33.4291992188,1,0,1029.19336821,29,29,2,3.34291992188,29,13,3724598986.37,3724598986.48,3659559187.25,44.36829,-124.9528,0.0,34.0879865145,29,29,internal_timestamp,500.380004883,29,29,247149,1450570387,5.60570001602,29,29,3659559187.25
"('68',)",33.4343986511,1,0,1029.18795776,29,29,2,3.34343986511,29,13,3724598986.37,3724598986.48,3659559198.25,44.36829,-124.9528,0.0,34.087351692,29,29,internal_timestamp,499.510009766,29,29,254153,1450570398,5.6125998497,29,29,3659559198.25
"('69',)",33.4472999573,1,0,1029.17845571,29,29,2,3.34472999573,29,13,3724598986.37,3724598986.48,3659559209.26,44.36829,-124.9528,0.0,34.0837714652,29,29,internal_timestamp,498.589996338,29,29,260304,1450570409,5.63110017776,29,29,3659559209.26
"('70',)",33.4510002136,1,0,1029.17340961,29,29,2,3.34510002136,29,13,3724598986.37,3724598986.48,3659559220.26,44.36829,-124.9528,0.0,34.0836954627,29,29,internal_timestamp,497.640014648,29,29,255822,1450570420,5.6357998848,29,29,3659559220.26
"('71',)",33.4597015381,1,0,1029.16408797,29,29,2,3.34597015381,29,13,3724598986.37,3724598986.48,3659559231.25,44.36829,-124.9528,0.0,34.0805937275,29,29,internal_timestamp,496.529998779,29,29,254432,1450570431,5.64919996262,29,29,3659559231.25
"('72',)",33.4636993408,1,0,1029.15648564,29,29,2,3.34636993408,29,13,3724598986.37,3724598986.48,3659559242.28,44.36829,-124.9528,0.0,34.0783949203,29,29,internal_timestamp,495.459991455,29,29,275664,1450570442,5.6564002037,29,29,3659559242.28
"('73',)",33.4663009644,1,0,1029.15199975,29,29,2,3.34663009644,29,13,3724598986.37,3724598986.48,3659559253.25,44.36829,-124.9528,0.0,34.0783450312,29,29,internal_timestamp,494.589996338,29,29,254395,1450570453,5.65980005264,29,29,3659559253.25
