obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('52',)",3.61410999298,29,13,1026.26809595,29,13,4,3716294556.31,3716294610.36,3692505529.94,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516729.94,33.5784988403,29,29,0,9.35509967804,29,29,3692505529.94
"('53',)",3.61412000656,29,13,1026.26817445,29,13,4,3716294556.31,3716294610.36,3692505530.0,44.6389,-124.2990333,0.0,internal_timestamp,69.4199981689,29,13,1483516730.0,33.5786018372,29,29,0,9.35499954224,29,29,3692505530.0
"('54',)",3.61412000656,29,13,1026.26826107,29,13,4,3716294556.31,3716294610.36,3692505530.07,44.6389,-124.2990333,0.0,internal_timestamp,69.4219970703,29,13,1483516730.07,33.5787010193,29,29,0,9.35499954224,29,29,3692505530.07
"('55',)",3.61412000656,29,13,1026.26824285,29,13,4,3716294556.31,3716294610.36,3692505530.13,44.6389,-124.2990333,0.0,internal_timestamp,69.4179992676,29,13,1483516730.13,33.5787010193,29,29,0,9.35499954224,29,29,3692505530.13
"('56',)",3.61412000656,29,13,1026.26825196,29,13,4,3716294556.31,3716294610.36,3692505530.19,44.6389,-124.2990333,0.0,internal_timestamp,69.4199981689,29,13,1483516730.19,33.5787010193,29,29,0,9.35499954224,29,29,3692505530.19
"('57',)",3.61412000656,29,13,1026.26825196,29,13,4,3716294556.31,3716294610.36,3692505530.25,44.6389,-124.2990333,0.0,internal_timestamp,69.4199981689,29,13,1483516730.25,33.5787010193,29,29,0,9.35499954224,29,29,3692505530.25
"('58',)",3.61412000656,29,13,1026.26825395,29,13,4,3716294556.31,3716294610.36,3692505530.32,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516730.32,33.5787010193,29,29,0,9.35509967804,29,29,3692505530.32
"('59',)",3.61412000656,29,13,1026.26815818,29,13,4,3716294556.31,3716294610.36,3692505530.38,44.6389,-124.2990333,0.0,internal_timestamp,69.4199981689,29,13,1483516730.38,33.5786018372,29,29,0,9.35509967804,29,29,3692505530.38
"('60',)",3.61412000656,29,13,1026.26816274,29,13,4,3716294556.31,3716294610.36,3692505530.44,44.6389,-124.2990333,0.0,internal_timestamp,69.4209976196,29,13,1483516730.44,33.5786018372,29,29,0,9.35509967804,29,29,3692505530.44
"('61',)",3.61412000656,29,13,1026.26814647,29,13,4,3716294556.31,3716294610.36,3692505530.5,44.6389,-124.2990333,0.0,internal_timestamp,69.4209976196,29,13,1483516730.5,33.5786018372,29,29,0,9.35519981384,29,29,3692505530.5
"('62',)",3.61412000656,29,13,1026.26814647,29,13,4,3716294556.31,3716294610.36,3692505530.57,44.6389,-124.2990333,0.0,internal_timestamp,69.4209976196,29,13,1483516730.57,33.5786018372,29,29,0,9.35519981384,29,29,3692505530.57
"('63',)",3.61412000656,29,13,1026.26814191,29,13,4,3716294556.31,3716294610.36,3692505530.63,44.6389,-124.2990333,0.0,internal_timestamp,69.4199981689,29,13,1483516730.63,33.5786018372,29,29,0,9.35519981384,29,29,3692505530.63
"('64',)",3.61412000656,29,13,1026.26806142,29,13,4,3716294556.31,3716294610.36,3692505530.69,44.6389,-124.2990333,0.0,internal_timestamp,69.4199981689,29,13,1483516730.69,33.5784988403,29,29,0,9.35519981384,29,29,3692505530.69
"('65',)",3.61410999298,29,13,1026.26799302,29,13,4,3716294556.31,3716294610.36,3692505530.75,44.6389,-124.2990333,0.0,internal_timestamp,69.4219970703,29,13,1483516730.75,33.5783996582,29,29,0,9.35519981384,29,29,3692505530.75
"('66',)",3.61410999298,29,13,1026.26799046,29,13,4,3716294556.31,3716294610.36,3692505530.82,44.6389,-124.2990333,0.0,internal_timestamp,69.4250030518,29,13,1483516730.82,33.5783996582,29,29,0,9.35529994965,29,29,3692505530.82
"('67',)",3.61412000656,29,13,1026.26799501,29,13,4,3716294556.31,3716294610.36,3692505530.88,44.6389,-124.2990333,0.0,internal_timestamp,69.4260025024,29,13,1483516730.88,33.5783996582,29,29,0,9.35529994965,29,29,3692505530.88
"('68',)",3.61412000656,29,13,1026.26805882,29,13,4,3716294556.31,3716294610.36,3692505530.94,44.6389,-124.2990333,0.0,internal_timestamp,69.422996521,29,13,1483516730.94,33.5784988403,29,29,0,9.35529994965,29,29,3692505530.94
"('69',)",3.61412000656,29,13,1026.26807253,29,13,4,3716294556.31,3716294610.36,3692505531.01,44.6389,-124.2990333,0.0,internal_timestamp,69.4260025024,29,13,1483516731.01,33.5784988403,29,29,0,9.35529994965,29,29,3692505531.01
"('70',)",3.61412000656,29,13,1026.26806341,29,13,4,3716294556.31,3716294610.36,3692505531.07,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516731.07,33.5784988403,29,29,0,9.35529994965,29,29,3692505531.07
"('71',)",3.61412000656,29,13,1026.26805882,29,13,4,3716294556.31,3716294610.36,3692505531.13,44.6389,-124.2990333,0.0,internal_timestamp,69.422996521,29,13,1483516731.13,33.5784988403,29,29,0,9.35529994965,29,29,3692505531.13
"('72',)",3.61412000656,29,13,1026.26816017,29,13,4,3716294556.31,3716294610.36,3692505531.19,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516731.19,33.5786018372,29,29,0,9.35519981384,29,29,3692505531.19
"('73',)",3.61412000656,29,13,1026.26816017,29,13,4,3716294556.31,3716294610.36,3692505531.25,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516731.25,33.5786018372,29,29,0,9.35519981384,29,29,3692505531.25
"('74',)",3.61412000656,29,13,1026.26817644,29,13,4,3716294556.31,3716294610.36,3692505531.32,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516731.32,33.5786018372,29,29,0,9.35509967804,29,29,3692505531.32
"('75',)",3.61410999298,29,13,1026.26817644,29,13,4,3716294556.31,3716294610.36,3692505531.38,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516731.38,33.5786018372,29,29,0,9.35509967804,29,29,3692505531.38
"('76',)",3.61410999298,29,13,1026.26818356,29,13,4,3716294556.31,3716294610.36,3692505531.44,44.6389,-124.2990333,0.0,internal_timestamp,69.4219970703,29,13,1483516731.44,33.5786018372,29,29,0,9.35499954224,29,29,3692505531.44
